wave_dt,version,item_index,category,dominant_subsystem,n_annotated_commits,n_matched_commits,n_files,lines_added,lines_deleted,touches_tests,docs_only
2023-11-09,15.5,45,Other functionality,tests,12,4,3,0,157,1,0
2023-11-09,15.5,46,Build & platform,core_server,4,3,1,6,4,0,0
2023-11-09,15.5,47,Crash & corruption,replication_recovery,7,3,1,26,30,0,0
2023-11-09,15.5,48,Crash & corruption,extensions_contrib,7,3,4,37,3,0,0
2023-11-09,15.5,49,Crash & corruption,client_tools,4,4,1,1,1,0,0
2023-11-09,15.5,50,Client tools,client_tools,7,3,2,27,7,0,0
2023-11-09,15.5,51,Client tools,client_tools,10,4,1,50,1,0,0
2023-11-09,15.5,52,Replication & recovery,replication_recovery,6,2,1,2,1,0,0
2023-11-09,15.5,53,Client tools,client_tools,6,3,2,49,7,0,0
2023-11-09,15.5,54,Crash & corruption,extensions_contrib,7,3,4,163,4,0,0
2023-11-09,15.5,55,Extensions & contrib,extensions_contrib,7,3,3,17,9,0,0
2023-11-09,15.5,56,Build & platform,core_server,20,9,2,37,0,0,0
2023-11-09,15.5,57,Build & platform,other,14,6,1,17,9,0,0
2023-11-09,15.5,58,Extensions & contrib,extensions_contrib,5,3,1,3,1,0,0
2023-11-09,15.5,59,Other functionality,core_server,7,3,2,1,2,0,0
2023-11-09,16.1,15,Other functionality,extensions_contrib,2,2,4,90,9,0,0
2023-11-09,16.1,21,Replication & recovery,core_server,2,2,4,44,2,1,0
2023-11-09,16.1,22,Other functionality,core_server,2,2,3,85,0,1,0
2023-11-09,16.1,23,Extensions & contrib,core_server,2,2,3,40,1,1,0
2023-11-09,16.1,30,Other functionality,planner,2,2,1,17,1,0,0
2023-11-09,16.1,35,Other functionality,extensions_contrib,2,2,3,47,1,0,0
2023-11-09,16.1,36,Other functionality,core_server,2,2,1,1,1,0,0
2023-11-09,16.1,47,Replication & recovery,client_tools,2,2,2,43,30,0,0
2023-11-09,16.1,51,Client tools,client_tools,2,2,2,30,11,0,0
2023-11-09,16.1,52,Client tools,client_tools,2,2,1,24,1,0,0
2024-02-08,15.6,0,Security (CVE),core_server,12,6,3,38,2,1,0
2024-02-08,15.6,1,Crash & corruption,core_server,7,3,6,234,94,0,0
2024-02-08,15.6,2,Performance,core_server,4,1,5,42,27,0,0
2024-02-08,15.6,3,Crash & corruption,planner,5,2,3,390,0,1,0
2024-02-08,15.6,4,Wrong results & planner,planner,6,3,3,46,2,1,0
2024-02-08,15.6,5,Other functionality,core_server,3,3,3,41,0,1,0
2024-02-08,15.6,6,Other functionality,core_server,3,3,3,97,0,1,0
2024-02-08,15.6,7,Crash & corruption,core_server,3,3,3,167,8,1,0
