dim_release_key,release_dt,category,category_order,is_out_of_band,fix_cnt,fix_share
b1036aa132d59c6301b245e14d25cebd,2025-08-14,"Data types, text & collation",8,false,8,0.112676
b1036aa132d59c6301b245e14d25cebd,2025-08-14,Execution & correctness,2,false,9,0.126761
b1036aa132d59c6301b245e14d25cebd,2025-08-14,Extensions & contrib,11,false,4,0.056338
b1036aa132d59c6301b245e14d25cebd,2025-08-14,Indexes,3,false,4,0.056338
b1036aa132d59c6301b245e14d25cebd,2025-08-14,Replication & recovery,5,false,11,0.154930
b1036aa132d59c6301b245e14d25cebd,2025-08-14,"Storage, vacuum & TOAST",13,false,4,0.056338
c6d9135a49bdef377840c6e9b647981b,2025-11-13,Build & platform,12,false,3,0.038462
c6d9135a49bdef377840c6e9b647981b,2025-11-13,Client interfaces,10,false,2,0.025641
c6d9135a49bdef377840c6e9b647981b,2025-11-13,Client tools,9,false,11,0.141026
c6d9135a49bdef377840c6e9b647981b,2025-11-13,"Concurrency, locking & crashes",6,false,13,0.166667
c6d9135a49bdef377840c6e9b647981b,2025-11-13,"Data types, text & collation",8,false,5,0.064103
c6d9135a49bdef377840c6e9b647981b,2025-11-13,Execution & correctness,2,false,10,0.128205
c6d9135a49bdef377840c6e9b647981b,2025-11-13,Extensions & contrib,11,false,3,0.038462
c6d9135a49bdef377840c6e9b647981b,2025-11-13,Indexes,3,false,6,0.076923
c6d9135a49bdef377840c6e9b647981b,2025-11-13,"Numeric, overflow & limits",7,false,4,0.051282
c6d9135a49bdef377840c6e9b647981b,2025-11-13,Partitioning & inheritance,4,false,3,0.038462
c6d9135a49bdef377840c6e9b647981b,2025-11-13,Planner & optimizer,1,false,7,0.089744
c6d9135a49bdef377840c6e9b647981b,2025-11-13,Replication & recovery,5,false,9,0.115385
c6d9135a49bdef377840c6e9b647981b,2025-11-13,"Storage, vacuum & TOAST",13,false,2,0.025641
cef63e90a9cb8fd660c730931ca1e05c,2026-02-12,Build & platform,12,false,6,0.080000
cef63e90a9cb8fd660c730931ca1e05c,2026-02-12,Client interfaces,10,false,1,0.013333
cef63e90a9cb8fd660c730931ca1e05c,2026-02-12,Client tools,9,false,9,0.120000
cef63e90a9cb8fd660c730931ca1e05c,2026-02-12,"Concurrency, locking & crashes",6,false,9,0.120000
