bug_number,reported_dt,subject,thread_message_cnt,is_acted_upon,linked_via,first_commit_dt,days_to_commit
17443,2022-03-21,"BUG #17443: Select command does not use brin index when enable_seqscan = on",2,false,,,
17444,2022-03-21,"BUG #17444: ERROR: found xmin 215633 from before relfrozenxid 1280585",2,false,,,
17445,2022-03-21,"BUG #17445: ""ON CONFLICT"" has different behaviors when its param is passed with prepared stmt or hard coded",9,false,,,
17446,2022-03-22,"BUG #17446: Suggest updating the section title ""Building Indexes Concurrently""",3,false,,,
17447,2022-03-24,"BUG #17447: uninstaller fails",2,false,,,
17448,2022-03-25,"BUG #17448: In Windows 10, version 1703 and later, huge_pages doesn't work.",27,true,discussion_link,2022-09-17,176
17449,2022-03-25,"BUG #17449: Disk space not released",8,false,,,
17450,2022-03-28,"BUG #17450: SUBSTRING function extracting lesser characters than specified",7,false,,,
17452,2022-03-31,"BUG #17452: IN caluse behaves differently when there is one item comapred to when multiple",2,false,,,
17454,2022-04-02,"BUG #17454: Using psql without ipv4 address,the inet_server_port do not return PORT.",8,false,,,
17456,2022-04-05,"BUG #17456: pg_dump creates dump that does not fully respect operator schema location",3,false,,,
17457,2022-04-06,"BUG #17457: pg_rewind fatal failure when $PGDATA/log is a soft-link",1,false,,,
17462,2022-04-11,"BUG #17462: Invalid memory access in heapam_tuple_lock",15,true,both,2022-04-13,2
17464,2022-04-12,"BUG #17464: Domain type. If the value field(CREATE DOMAIN) is set to null, errors cannot be intercepted.",3,false,,,
17465,2022-04-18,"BUG #17465: Wrong error message while trying to change system column type.",2,true,both,2022-04-18,0
17466,2022-04-19,"BUG #17466: Is it possible to supplement the default compilation options of CFLAGS in configure file？",2,false,,,
17467,2022-04-21,"BUG #17467: Perf degradation after switching to latest jdbc drivers",4,false,,,
17468,2022-04-25,"BUG #17468: Ranking of search results: ts_rank_cd with normalization variant 4",5,false,,,
17469,2022-04-28,"BUG #17469: postgresql-11.service file not configured to match setup/initdb options specified",6,false,,,
17470,2022-04-29,"BUG #17470: Installation error",2,false,,,
17471,2022-04-29,"BUG #17471: COMSPEC error",1,false,,,
17472,2022-04-29,"BUG #17472: Jsonb[] operations not working",2,false,,,
17473,2022-04-29,"BUG #17473: Custom range type with timestamp doesn't respect precision",3,false,,,
17474,2022-05-05,"BUG #17474: Segmentation fault from INSERT ( JumbleExpr )",4,false,,,
17476,2022-05-08,"BUG #17476: ERROR: ""variable not found in subplan target list"" when running SELECT COUNT(*)",12,false,,,
17477,2022-05-09,"BUG #17477: A crash bug in transformValuesClause()",9,true,both,2022-05-09,0
17478,2022-05-09,"BUG #17478: Missing documents in the index after CREATE INDEX CONCURRENTLY (but existing in the table)",5,false,,,
17479,2022-05-10,"BUG #17479: ""plan should not reference subplan's variable"" when calling `grouping` on result of subquery",6,true,both,2022-05-12,2
17480,2022-05-10,"BUG #17480: Assertion failure in parse_relation.c",5,true,discussion_link,2022-05-18,8
17481,2022-05-15,"BUG #17481: sometime pg_stat_statements coredump",3,false,,,
17482,2022-05-16,"BUG #17482: make world get error",2,false,,,
17483,2022-05-16,"BUG #17483: postgres_fdw used with text to_tsvector and custom search configuration",3,true,bug_ref,2022-07-17,62
17484,2022-05-18,"BUG #17484: Query does not prune partitions correctly",3,false,,,
17485,2022-05-18,"BUG #17485: Records missing from Primary Key index when doing REINDEX INDEX CONCURRENTLY",80,true,discussion_link,2022-05-31,13
17486,2022-05-19,"BUG #17486: [pg_restore] Restoring a view fails if this view contains an attribute without alias name.",8,true,both,2022-05-21,2
17487,2022-05-19,"BUG #17487: Parallel execution fails when original user is removed",3,false,,,
17490,2022-05-20,"BUG #17490: unconsistency between TRUNCATE RESTART IDENTITY and setval()",1,false,,,
17491,2022-05-23,"BUG #17491: PgAgent keeps failing",2,false,,,
17492,2022-05-24,"BUG #17492: error MSB4126: The specified solution configuration ""Release|arm64"" is invalid",3,false,,,
17494,2022-05-24,"BUG #17494: High demand for displacement sort",2,false,,,
17495,2022-05-24,"BUG #17495: Regression in 15beta1 when filtering subquery including row_number window function",15,true,both,2022-05-26,2
17496,2022-05-24,"BUG #17496: to_char function resets if interval exceeds 23 hours 59 minutes",6,false,,,
17497,2022-05-24,"BUG #17497: Data directory has been changed to default",2,false,,,
17498,2022-05-25,"BUG #17498: Receive Failed: (error code 1) when importing any csv file from pgAdmin with no explanations",7,false,,,
17500,2022-05-27,"BUG #17500: Insert data with ODBC driver in VB.net failed",2,false,,,
17501,2022-05-28,"BUG #17501: COPY is failing with ""ERROR: invalid byte sequence for encoding ""UTF8"": 0xe5""",5,true,both,2022-05-29,1
17502,2022-05-28,"BUG #17502: View based on window functions returns wrong results when queried",18,true,both,2026-06-30,1494
17503,2022-05-30,"BUG #17503: Package postgresql-jdbc-42.3.6-1.rhel8.noarch.rpm is not signed",1,false,,,
17504,2022-05-30,"BUG #17504: psql --single-transaction -vON_ERROR_STOP=1 still commits after client-side error",23,true,discussion_link,2022-06-06,7
17506,2022-06-01,"BUG #17506: Issue with the downloading site",2,false,,,
17507,2022-06-01,"BUG #17507: rpm packages provide wrong postgresql version",1,false,,,
17508,2022-06-02,"BUG #17508: ja.po for pg_ctl has an obvious mistake",4,false,,,
17510,2022-06-06,"BUG #17510: cache lookup failed for type",2,false,,,
17511,2022-06-06,"BUG #17511: Inconsistent permissions on some information_schema tables",6,false,,,
17512,2022-06-06,"BUG #17512: Process running query fails with SIGSEV - nodeMemoize.c:349",10,true,both,2022-06-08,2
17513,2022-06-08,"BUG #17513: recompressing already-compressed data via VACUUM FULL or CLUSTER does not work",3,false,,,
17514,2022-06-09,"BUG #17514: Application with embedded SQL crashes when executing EXEC SQL PREPARE",4,true,both,2022-06-14,5
17515,2022-06-09,"BUG #17515: Change in behaviour of a composite type within a domain",2,true,both,2022-06-10,1
17518,2022-06-14,"BUG #17518: Getting Error ""new multixact has more than one updating member"" when trying to delete records.",6,true,discussion_link,2022-11-24,163
17519,2022-06-16,"BUG #17519: I get a segmentation fault when querying in parallel.",2,false,,,
17520,2022-06-16,"BUG #17520: 14.4 release notes doc is out of order",2,false,,,
17522,2022-06-17,"BUG #17522: While using --with-ssl=openssl and PG_TEST_EXTRA='ssl' options, SSL test fails on OpenBSD 7.1",15,true,both,2022-06-24,7
17523,2022-06-18,"BUG #17523: Postgresql Kerberos PAM authentication",1,false,,,
17524,2022-06-20,"BUG #17524: Increase in WAL size due to logical replication with publication contain a table with low activity.",3,false,,,
17525,2022-06-21,"BUG #17525: Range partition by date won't allow the use of a date that is the upper bound",3,false,,,
17526,2022-06-22,"BUG #17526: PG_DUMP is not outputting ""CREATE SCHEMA"" statements when an extension is assigned to a schema",3,false,,,
17527,2022-06-22,"BUG #17527: Timestamp bind variable using 0000-00-00, 0000/00/00",1,false,,,
17528,2022-06-22,"BUG #17528: ERROR: could not access status of transaction 1997627701",2,false,,,
17529,2022-06-22,"BUG #17529: SQL Error [57P01]: FATAL: terminating connection due to administrator command",7,false,,,
17530,2022-06-22,"BUG #17530: pg_dump comment on triggers is ""off"" by comparison to all of the other objects...",5,false,,,
17531,2022-06-24,"BUG #17531: Push Notification Many Times Show.",2,false,,,
17532,2022-06-25,"BUG #17532: Prepared statements and insert on conflict can fail on the 6th execution",2,false,,,
17533,2022-06-25,"BUG #17533: run benchmarksql test failed",2,false,,,
17534,2022-06-28,"BUG #17534: 'tablespace' option crushes 'create database' query with 'permission denied' message",2,false,,,
17535,2022-07-01,"BUG #17535: postgresql-14-orafce 3.22.0-1.pgdg110+1 fails; 3.21.1-1.pgdg110+1 works.",2,false,,,
17536,2022-07-01,"BUG #17536: PostgreSQL 10 initdb with locale de-x-icu fails on Windows Server 2012",2,false,,,
17537,2022-07-03,"BUG #17537: Dynamically updating statement_timeout not affect the insert query right now.",3,false,,,
17538,2022-07-03,"BUG #17538: Dynamically updating log_hostname not affect the disconnection log",2,false,,,
17539,2022-07-05,"BUG #17539: Assert after CREATE OPERATOR CLASS command",5,false,,,
